timestamp,equipment_tag,unit_id,Discharge_Pressure_barg,Vibration_mm_s,Stage_Temp_C,anomaly_flag
2026-02-01T00:00:00,300-C-310,300,114.17,1.35,132.31,0
2026-02-01T06:00:00,300-C-310,300,30.89,3.33,116.33,0
2026-02-01T12:00:00,300-C-310,300,72.33,2.8,193.73,0
2026-02-01T18:00:00,300-C-310,300,129.03,3.29,146.65,0
2026-02-02T00:00:00,300-C-310,300,91.44,2.75,104.49,0
2026-02-02T06:00:00,300-C-310,300,113.07,1.25,189.31,0
2026-02-02T12:00:00,300-C-310,300,128.64,1.2,82.59,0
2026-02-02T18:00:00,300-C-310,300,73.12,3.28,151.26,0
2026-02-03T00:00:00,300-C-310,300,79.23,3.55,92.22,0
2026-02-03T06:00:00,300-C-310,300,63.4,1.95,114.58,0
2026-02-03T12:00:00,300-C-310,300,111.25,1.39,114.92,0
2026-02-03T18:00:00,300-C-310,300,115.94,3.7,175.28,0
2026-02-04T00:00:00,300-C-310,300,102.58,2.61,104.91,0
2026-02-04T06:00:00,300-C-310,300,83.78,1.86,122.5,0
2026-02-04T12:00:00,300-C-310,300,148.11,2.02,103.13,0
2026-02-04T18:00:00,300-C-310,300,102.47,2.27,88.33,0
2026-02-05T00:00:00,300-C-310,300,150.12,2.93,188.25,0
2026-02-05T06:00:00,300-C-310,300,72.25,2.93,179.05,0
2026-02-05T12:00:00,300-C-310,300,22.73,3.16,162.11,0
2026-02-05T18:00:00,300-C-310,300,26.28,1.9,82.3,0
2026-02-06T00:00:00,300-C-310,300,119.94,2.9,107.36,0
2026-02-06T06:00:00,300-C-310,300,26.32,1.35,70.3,0
2026-02-06T12:00:00,300-C-310,300,48.48,2.35,198.67,0
2026-02-06T18:00:00,300-C-310,300,90.44,1.75,127.19,0
2026-02-07T00:00:00,300-C-310,300,25.04,2.89,117.96,0
2026-02-07T06:00:00,300-C-310,300,126.07,1.75,103.4,0
2026-02-07T12:00:00,300-C-310,300,48.77,3.26,187.42,0
2026-02-07T18:00:00,300-C-310,300,141.15,2.2,116.76,0
2026-02-08T00:00:00,300-C-310,300,103.78,1.87,148.37,0
2026-02-08T06:00:00,300-C-310,300,61.17,1.92,127.99,0
2026-02-08T12:00:00,300-C-310,300,43.04,3.09,162.49,0
2026-02-08T18:00:00,300-C-310,300,100.71,3.88,176.8,0
2026-02-09T00:00:00,300-C-310,300,147.59,1.47,192.38,0
2026-02-09T06:00:00,300-C-310,300,124.4,1.22,138.7,0
2026-02-09T12:00:00,300-C-310,300,21.01,2.34,187.27,0
2026-02-09T18:00:00,300-C-310,300,68.08,3.05,136.28,0
2026-02-10T00:00:00,300-C-310,300,107.42,3.28,121.81,0
2026-02-10T06:00:00,300-C-310,300,135.07,2.49,168.67,0
2026-02-10T12:00:00,300-C-310,300,68.43,3.47,67.31,0
2026-02-10T18:00:00,300-C-310,300,101.4,3.92,141.09,0
2026-02-11T00:00:00,300-C-310,300,23.36,2.33,199.62,0
2026-02-11T06:00:00,300-C-310,300,51.98,2.83,116.37,0
2026-02-11T12:00:00,300-C-310,300,156.68,1.01,134.51,0
2026-02-11T18:00:00,300-C-310,300,146.58,2.49,176.15,0
2026-02-12T00:00:00,300-C-310,300,140.41,3.42,192.36,0
2026-02-12T06:00:00,300-C-310,300,77.74,3.24,184.91,0
2026-02-12T12:00:00,300-C-310,300,67.66,2.9,147.66,0
2026-02-12T18:00:00,300-C-310,300,149.93,3.94,196.78,0
2026-02-13T00:00:00,300-C-310,300,43.14,2.07,160.12,0
2026-02-13T06:00:00,300-C-310,300,42.43,1.91,175.74,0
2026-02-13T12:00:00,300-C-310,300,131.05,2.9,187.63,0
