timestamp,equipment_tag,unit_id,Set_Pressure_barg,Body_Temp_C,anomaly_flag
2025-11-01T00:00:00,200-PSV-207,200,52.58,112.96,0
2025-11-01T06:00:00,200-PSV-207,200,19.33,87.58,0
2025-11-01T12:00:00,200-PSV-207,200,17.66,31.88,0
2025-11-01T18:00:00,200-PSV-207,200,54.67,50.01,0
2025-11-02T00:00:00,200-PSV-207,200,59.43,156.39,0
2025-11-02T06:00:00,200-PSV-207,200,11.26,136.24,0
2025-11-02T12:00:00,200-PSV-207,200,28.63,165.16,0
2025-11-02T18:00:00,200-PSV-207,200,133.97,65.87,0
2025-11-03T00:00:00,200-PSV-207,200,153.41,151.94,0
2025-11-03T06:00:00,200-PSV-207,200,18.12,99.38,0
2025-11-03T12:00:00,200-PSV-207,200,127.58,186.9,0
2025-11-03T18:00:00,200-PSV-207,200,35.14,72.82,0
2025-11-04T00:00:00,200-PSV-207,200,140.64,193.65,0
2025-11-04T06:00:00,200-PSV-207,200,21.41,45.27,0
2025-11-04T12:00:00,200-PSV-207,200,136.46,83.89,0
2025-11-04T18:00:00,200-PSV-207,200,72.69,178.98,0
2025-11-05T00:00:00,200-PSV-207,200,135.51,142.32,0
2025-11-05T06:00:00,200-PSV-207,200,156.84,154.45,0
2025-11-05T12:00:00,200-PSV-207,200,146.79,139.35,0
2025-11-05T18:00:00,200-PSV-207,200,108.8,40.18,0
2025-11-06T00:00:00,200-PSV-207,200,164.18,185.0,0
2025-11-06T06:00:00,200-PSV-207,200,66.49,136.48,0
2025-11-06T12:00:00,200-PSV-207,200,7.96,114.99,0
2025-11-06T18:00:00,200-PSV-207,200,114.09,79.94,0
2025-11-07T00:00:00,200-PSV-207,200,77.54,172.03,0
2025-11-07T06:00:00,200-PSV-207,200,30.1,107.43,0
2025-11-07T12:00:00,200-PSV-207,200,20.12,95.35,0
2025-11-07T18:00:00,200-PSV-207,200,159.44,134.12,0
2025-11-08T00:00:00,200-PSV-207,200,10.08,175.97,0
2025-11-08T06:00:00,200-PSV-207,200,120.2,118.49,0
2025-11-08T12:00:00,200-PSV-207,200,55.48,81.14,0
2025-11-08T18:00:00,200-PSV-207,200,37.0,135.77,0
2025-11-09T00:00:00,200-PSV-207,200,13.71,190.62,0
2025-11-09T06:00:00,200-PSV-207,200,22.98,136.09,0
2025-11-09T12:00:00,200-PSV-207,200,105.78,91.58,0
2025-11-09T18:00:00,200-PSV-207,200,53.71,104.65,0
2025-11-10T00:00:00,200-PSV-207,200,62.64,195.17,0
2025-11-10T06:00:00,200-PSV-207,200,117.87,118.16,0
2025-11-10T12:00:00,200-PSV-207,200,121.07,113.94,0
2025-11-10T18:00:00,200-PSV-207,200,31.02,33.86,0
2025-11-11T00:00:00,200-PSV-207,200,174.76,173.53,0
2025-11-11T06:00:00,200-PSV-207,200,21.64,133.81,0
2025-11-11T12:00:00,200-PSV-207,200,142.39,182.02,0
2025-11-11T18:00:00,200-PSV-207,200,16.32,52.49,0
2025-11-12T00:00:00,200-PSV-207,200,73.64,132.47,0
2025-11-12T06:00:00,200-PSV-207,200,19.47,148.28,0
2025-11-12T12:00:00,200-PSV-207,200,137.07,105.95,0
2025-11-12T18:00:00,200-PSV-207,200,153.58,96.11,0
2025-11-13T00:00:00,200-PSV-207,200,150.85,94.97,0
2025-11-13T06:00:00,200-PSV-207,200,75.39,94.12,0
2025-11-13T12:00:00,200-PSV-207,200,129.23,180.1,0
2025-11-13T18:00:00,200-PSV-207,200,17.64,130.3,0
2025-11-14T00:00:00,200-PSV-207,200,151.22,147.64,0
2025-11-14T06:00:00,200-PSV-207,200,45.96,91.95,0
2025-11-14T12:00:00,200-PSV-207,200,160.09,66.68,0
2025-11-14T18:00:00,200-PSV-207,200,171.94,96.6,0
2025-11-15T00:00:00,200-PSV-207,200,96.05,150.38,0
2025-11-15T06:00:00,200-PSV-207,200,124.2,130.38,0
2025-11-15T12:00:00,200-PSV-207,200,156.82,138.87,0
2025-11-15T18:00:00,200-PSV-207,200,165.34,140.77,0
2025-11-16T00:00:00,200-PSV-207,200,107.87,39.64,0
2025-11-16T06:00:00,200-PSV-207,200,164.02,68.96,0
