timestamp,equipment_tag,unit_id,Discharge_Pressure_barg,Vibration_mm_s,Stage_Temp_C,anomaly_flag
2026-04-01T00:00:00,200-C-209,200,34.09,2.99,159.5,0
2026-04-01T06:00:00,200-C-209,200,54.33,2.13,127.49,0
2026-04-01T12:00:00,200-C-209,200,99.64,1.92,119.21,0
2026-04-01T18:00:00,200-C-209,200,106.52,3.77,72.64,0
2026-04-02T00:00:00,200-C-209,200,60.28,2.43,187.22,0
2026-04-02T06:00:00,200-C-209,200,33.74,3.64,95.88,0
2026-04-02T12:00:00,200-C-209,200,157.38,1.14,117.65,0
2026-04-02T18:00:00,200-C-209,200,136.2,2.17,183.69,0
2026-04-03T00:00:00,200-C-209,200,127.59,1.78,85.16,0
2026-04-03T06:00:00,200-C-209,200,147.87,3.33,154.59,0
2026-04-03T12:00:00,200-C-209,200,141.94,1.5,152.78,0
2026-04-03T18:00:00,200-C-209,200,136.58,3.66,120.03,0
2026-04-04T00:00:00,200-C-209,200,105.78,3.53,196.76,0
2026-04-04T06:00:00,200-C-209,200,20.41,1.26,70.25,0
2026-04-04T12:00:00,200-C-209,200,105.63,2.3,138.01,0
2026-04-04T18:00:00,200-C-209,200,117.51,2.72,105.19,0
2026-04-05T00:00:00,200-C-209,200,150.28,2.85,61.62,0
2026-04-05T06:00:00,200-C-209,200,85.5,2.7,130.91,0
2026-04-05T12:00:00,200-C-209,200,43.74,2.98,98.46,0
2026-04-05T18:00:00,200-C-209,200,28.97,1.01,125.6,0
2026-04-06T00:00:00,200-C-209,200,97.05,2.84,171.21,0
2026-04-06T06:00:00,200-C-209,200,127.35,3.13,64.8,0
2026-04-06T12:00:00,200-C-209,200,69.75,3.39,159.18,0
2026-04-06T18:00:00,200-C-209,200,152.86,2.1,108.15,0
2026-04-07T00:00:00,200-C-209,200,68.23,1.09,167.67,0
2026-04-07T06:00:00,200-C-209,200,27.11,2.74,103.44,0
2026-04-07T12:00:00,200-C-209,200,115.85,1.67,82.92,0
2026-04-07T18:00:00,200-C-209,200,22.23,1.8,82.89,0
2026-04-08T00:00:00,200-C-209,200,114.92,2.64,140.85,0
2026-04-08T06:00:00,200-C-209,200,136.61,2.25,124.58,0
2026-04-08T12:00:00,200-C-209,200,83.44,2.26,138.57,0
2026-04-08T18:00:00,200-C-209,200,44.51,3.85,132.05,0
2026-04-09T00:00:00,200-C-209,200,24.05,1.73,60.05,0
2026-04-09T06:00:00,200-C-209,200,156.39,1.26,110.51,0
2026-04-09T12:00:00,200-C-209,200,122.44,3.89,187.71,0
2026-04-09T18:00:00,200-C-209,200,99.17,3.96,109.83,0
2026-04-10T00:00:00,200-C-209,200,44.52,3.99,156.69,0
2026-04-10T06:00:00,200-C-209,200,25.22,1.59,84.57,0
2026-04-10T12:00:00,200-C-209,200,55.97,2.48,188.85,0
2026-04-10T18:00:00,200-C-209,200,66.91,1.12,169.04,0
2026-04-11T00:00:00,200-C-209,200,57.4,3.66,175.24,0
2026-04-11T06:00:00,200-C-209,200,54.31,3.62,131.15,0
2026-04-11T12:00:00,200-C-209,200,107.4,3.52,155.21,0
2026-04-11T18:00:00,200-C-209,200,140.5,2.2,71.99,0
2026-04-12T00:00:00,200-C-209,200,151.54,3.53,83.46,0
2026-04-12T06:00:00,200-C-209,200,86.42,2.31,65.96,0
2026-04-12T12:00:00,200-C-209,200,126.3,3.89,89.24,0
2026-04-12T18:00:00,200-C-209,200,61.33,1.84,148.13,0
2026-04-13T00:00:00,200-C-209,200,136.93,3.93,73.95,0
2026-04-13T06:00:00,200-C-209,200,141.61,1.02,132.96,0
2026-04-13T12:00:00,200-C-209,200,106.55,1.25,193.77,0
2026-04-13T18:00:00,200-C-209,200,97.88,3.4,167.56,0
2026-04-14T00:00:00,200-C-209,200,146.55,3.32,72.14,0
2026-04-14T06:00:00,200-C-209,200,89.79,2.13,143.61,0
2026-04-14T12:00:00,200-C-209,200,60.67,1.23,175.33,0
2026-04-14T18:00:00,200-C-209,200,25.81,1.21,60.13,0
2026-04-15T00:00:00,200-C-209,200,114.33,3.94,73.39,0
2026-04-15T06:00:00,200-C-209,200,130.67,1.87,105.84,0
2026-04-15T12:00:00,200-C-209,200,23.65,2.42,89.79,0
2026-04-15T18:00:00,200-C-209,200,120.5,1.05,82.67,0
2026-04-16T00:00:00,200-C-209,200,90.02,1.74,168.19,0
2026-04-16T06:00:00,200-C-209,200,71.49,1.11,112.6,0
2026-04-16T12:00:00,200-C-209,200,59.06,1.0,84.12,0
