timestamp,equipment_tag,unit_id,Motor_Load_pct,RPM,anomaly_flag
2026-04-01T00:00:00,500-AGT-504,500,64.35,28.34,0
2026-04-01T06:00:00,500-AGT-504,500,44.59,38.98,0
2026-04-01T12:00:00,500-AGT-504,500,69.47,23.33,0
2026-04-01T18:00:00,500-AGT-504,500,80.06,58.99,0
2026-04-02T00:00:00,500-AGT-504,500,64.3,55.99,0
2026-04-02T06:00:00,500-AGT-504,500,78.36,59.15,0
2026-04-02T12:00:00,500-AGT-504,500,55.48,47.59,0
2026-04-02T18:00:00,500-AGT-504,500,47.3,45.82,0
2026-04-03T00:00:00,500-AGT-504,500,79.49,50.61,0
2026-04-03T06:00:00,500-AGT-504,500,59.85,52.91,0
2026-04-03T12:00:00,500-AGT-504,500,56.85,45.21,0
2026-04-03T18:00:00,500-AGT-504,500,84.23,49.89,0
2026-04-04T00:00:00,500-AGT-504,500,43.74,23.06,0
2026-04-04T06:00:00,500-AGT-504,500,75.42,45.67,0
2026-04-04T12:00:00,500-AGT-504,500,67.17,49.66,0
2026-04-04T18:00:00,500-AGT-504,500,77.37,49.48,0
2026-04-05T00:00:00,500-AGT-504,500,47.04,43.96,0
2026-04-05T06:00:00,500-AGT-504,500,52.06,46.36,0
2026-04-05T12:00:00,500-AGT-504,500,65.0,57.4,0
2026-04-05T18:00:00,500-AGT-504,500,82.76,42.5,0
2026-04-06T00:00:00,500-AGT-504,500,42.78,45.35,0
2026-04-06T06:00:00,500-AGT-504,500,77.86,26.53,0
2026-04-06T12:00:00,500-AGT-504,500,50.18,54.36,0
2026-04-06T18:00:00,500-AGT-504,500,53.37,51.44,0
2026-04-07T00:00:00,500-AGT-504,500,64.29,35.23,0
2026-04-07T06:00:00,500-AGT-504,500,55.93,41.95,0
2026-04-07T12:00:00,500-AGT-504,500,52.44,37.46,0
2026-04-07T18:00:00,500-AGT-504,500,80.71,59.49,0
2026-04-08T00:00:00,500-AGT-504,500,72.23,36.52,0
2026-04-08T06:00:00,500-AGT-504,500,65.79,31.03,0
2026-04-08T12:00:00,500-AGT-504,500,67.15,29.59,0
2026-04-08T18:00:00,500-AGT-504,500,47.56,29.88,0
2026-04-09T00:00:00,500-AGT-504,500,55.3,23.27,0
2026-04-09T06:00:00,500-AGT-504,500,54.81,20.04,0
2026-04-09T12:00:00,500-AGT-504,500,51.47,36.82,0
2026-04-09T18:00:00,500-AGT-504,500,68.68,59.79,0
2026-04-10T00:00:00,500-AGT-504,500,42.37,48.0,0
2026-04-10T06:00:00,500-AGT-504,500,43.83,22.61,0
2026-04-10T12:00:00,500-AGT-504,500,84.65,20.04,0
2026-04-10T18:00:00,500-AGT-504,500,58.68,33.14,0
2026-04-11T00:00:00,500-AGT-504,500,47.75,31.37,0
2026-04-11T06:00:00,500-AGT-504,500,66.52,44.12,0
2026-04-11T12:00:00,500-AGT-504,500,43.21,26.23,0
2026-04-11T18:00:00,500-AGT-504,500,84.05,52.53,0
2026-04-12T00:00:00,500-AGT-504,500,55.58,32.26,0
2026-04-12T06:00:00,500-AGT-504,500,72.67,24.43,0
2026-04-12T12:00:00,500-AGT-504,500,57.46,42.38,0
2026-04-12T18:00:00,500-AGT-504,500,80.82,21.38,0
2026-04-13T00:00:00,500-AGT-504,500,46.48,45.43,0
2026-04-13T06:00:00,500-AGT-504,500,77.54,40.2,0
2026-04-13T12:00:00,500-AGT-504,500,57.65,51.89,0
2026-04-13T18:00:00,500-AGT-504,500,47.15,37.52,0
2026-04-14T00:00:00,500-AGT-504,500,61.2,21.34,0
2026-04-14T06:00:00,500-AGT-504,500,82.2,30.68,0
2026-04-14T12:00:00,500-AGT-504,500,51.58,35.68,0
2026-04-14T18:00:00,500-AGT-504,500,77.37,30.92,0
2026-04-15T00:00:00,500-AGT-504,500,59.99,38.32,0
2026-04-15T06:00:00,500-AGT-504,500,59.16,36.63,0
2026-04-15T12:00:00,500-AGT-504,500,84.43,24.48,0
2026-04-15T18:00:00,500-AGT-504,500,80.8,57.44,0
2026-04-16T00:00:00,500-AGT-504,500,54.23,54.59,0
2026-04-16T06:00:00,500-AGT-504,500,56.48,37.46,0
2026-04-16T12:00:00,500-AGT-504,500,45.76,33.21,0
2026-04-16T18:00:00,500-AGT-504,500,55.16,24.28,0
2026-04-17T00:00:00,500-AGT-504,500,52.35,21.08,0
2026-04-17T06:00:00,500-AGT-504,500,54.12,41.21,0
2026-04-17T12:00:00,500-AGT-504,500,65.29,47.92,0
