timestamp,equipment_tag,unit_id,Level_pct,Pressure_barg,anomaly_flag
2026-06-01T00:00:00,100-V-105,100,43.16,26.0,0
2026-06-01T06:00:00,100-V-105,100,42.91,34.04,0
2026-06-01T12:00:00,100-V-105,100,76.55,2.67,0
2026-06-01T18:00:00,100-V-105,100,49.1,2.21,0
2026-06-02T00:00:00,100-V-105,100,25.53,4.37,0
2026-06-02T06:00:00,100-V-105,100,40.74,9.27,0
2026-06-02T12:00:00,100-V-105,100,79.49,9.58,0
2026-06-02T18:00:00,100-V-105,100,59.73,3.06,0
2026-06-03T00:00:00,100-V-105,100,41.89,20.99,0
2026-06-03T06:00:00,100-V-105,100,65.99,37.79,0
2026-06-03T12:00:00,100-V-105,100,47.45,6.99,0
2026-06-03T18:00:00,100-V-105,100,70.87,22.12,0
2026-06-04T00:00:00,100-V-105,100,53.9,39.66,0
2026-06-04T06:00:00,100-V-105,100,23.29,35.27,0
2026-06-04T12:00:00,100-V-105,100,40.93,19.62,0
2026-06-04T18:00:00,100-V-105,100,41.6,31.17,0
2026-06-05T00:00:00,100-V-105,100,61.44,9.38,0
2026-06-05T06:00:00,100-V-105,100,35.37,29.29,0
2026-06-05T12:00:00,100-V-105,100,64.09,18.34,0
2026-06-05T18:00:00,100-V-105,100,67.14,5.81,0
2026-06-06T00:00:00,100-V-105,100,25.15,30.09,0
2026-06-06T06:00:00,100-V-105,100,30.85,7.73,0
2026-06-06T12:00:00,100-V-105,100,32.43,30.48,0
2026-06-06T18:00:00,100-V-105,100,22.14,19.8,0
2026-06-07T00:00:00,100-V-105,100,42.21,12.93,0
2026-06-07T06:00:00,100-V-105,100,43.05,10.69,0
2026-06-07T12:00:00,100-V-105,100,51.21,24.29,0
2026-06-07T18:00:00,100-V-105,100,77.94,10.51,0
2026-06-08T00:00:00,100-V-105,100,62.15,35.8,0
2026-06-08T06:00:00,100-V-105,100,49.72,22.75,0
2026-06-08T12:00:00,100-V-105,100,39.35,4.7,0
2026-06-08T18:00:00,100-V-105,100,40.73,11.33,0
2026-06-09T00:00:00,100-V-105,100,59.73,22.81,0
2026-06-09T06:00:00,100-V-105,100,70.82,7.25,0
2026-06-09T12:00:00,100-V-105,100,40.15,24.99,0
2026-06-09T18:00:00,100-V-105,100,43.05,24.92,0
2026-06-10T00:00:00,100-V-105,100,66.13,20.59,0
