timestamp,equipment_tag,unit_id,Level_pct,Pressure_barg,anomaly_flag
2026-05-01T00:00:00,200-V-210,200,28.1,21.76,0
2026-05-01T06:00:00,200-V-210,200,75.64,28.01,0
2026-05-01T12:00:00,200-V-210,200,25.94,4.81,0
2026-05-01T18:00:00,200-V-210,200,55.84,38.41,0
2026-05-02T00:00:00,200-V-210,200,62.29,5.05,0
2026-05-02T06:00:00,200-V-210,200,39.2,13.71,0
2026-05-02T12:00:00,200-V-210,200,74.15,14.58,0
2026-05-02T18:00:00,200-V-210,200,41.13,29.86,0
2026-05-03T00:00:00,200-V-210,200,24.72,37.89,0
2026-05-03T06:00:00,200-V-210,200,41.97,39.82,0
2026-05-03T12:00:00,200-V-210,200,64.95,31.42,0
2026-05-03T18:00:00,200-V-210,200,51.9,37.82,0
2026-05-04T00:00:00,200-V-210,200,39.75,24.91,0
2026-05-04T06:00:00,200-V-210,200,48.41,16.95,0
2026-05-04T12:00:00,200-V-210,200,23.34,11.15,0
2026-05-04T18:00:00,200-V-210,200,73.48,19.73,0
2026-05-05T00:00:00,200-V-210,200,62.41,16.89,0
2026-05-05T06:00:00,200-V-210,200,26.77,30.71,0
2026-05-05T12:00:00,200-V-210,200,59.8,28.59,0
2026-05-05T18:00:00,200-V-210,200,77.99,16.66,0
2026-05-06T00:00:00,200-V-210,200,66.68,22.28,0
2026-05-06T06:00:00,200-V-210,200,60.17,12.75,0
2026-05-06T12:00:00,200-V-210,200,72.05,29.79,0
2026-05-06T18:00:00,200-V-210,200,39.21,22.26,0
2026-05-07T00:00:00,200-V-210,200,29.66,18.15,0
2026-05-07T06:00:00,200-V-210,200,65.2,22.47,0
2026-05-07T12:00:00,200-V-210,200,74.85,38.11,0
2026-05-07T18:00:00,200-V-210,200,29.54,31.07,0
2026-05-08T00:00:00,200-V-210,200,62.51,38.25,0
2026-05-08T06:00:00,200-V-210,200,59.96,32.74,0
2026-05-08T12:00:00,200-V-210,200,79.21,9.75,0
2026-05-08T18:00:00,200-V-210,200,64.93,7.83,0
2026-05-09T00:00:00,200-V-210,200,22.86,11.22,0
2026-05-09T06:00:00,200-V-210,200,22.7,36.06,0
2026-05-09T12:00:00,200-V-210,200,40.08,4.92,0
