timestamp,equipment_tag,unit_id,Level_pct,Temperature_C,anomaly_flag
2026-01-01T00:00:00,400-T-402,400,44.69,21.77,0
2026-01-01T06:00:00,400-T-402,400,32.85,55.75,0
2026-01-01T12:00:00,400-T-402,400,46.24,39.6,0
2026-01-01T18:00:00,400-T-402,400,11.22,20.46,0
2026-01-02T00:00:00,400-T-402,400,50.24,46.49,0
2026-01-02T06:00:00,400-T-402,400,54.61,39.82,0
2026-01-02T12:00:00,400-T-402,400,37.65,35.82,0
2026-01-02T18:00:00,400-T-402,400,66.47,58.28,0
2026-01-03T00:00:00,400-T-402,400,55.98,55.11,0
2026-01-03T06:00:00,400-T-402,400,17.21,34.84,0
2026-01-03T12:00:00,400-T-402,400,42.25,42.58,0
2026-01-03T18:00:00,400-T-402,400,53.48,33.1,0
2026-01-04T00:00:00,400-T-402,400,59.8,59.73,0
2026-01-04T06:00:00,400-T-402,400,60.71,42.75,0
2026-01-04T12:00:00,400-T-402,400,26.98,41.0,0
2026-01-04T18:00:00,400-T-402,400,39.48,21.63,0
2026-01-05T00:00:00,400-T-402,400,14.04,38.63,0
2026-01-05T06:00:00,400-T-402,400,89.45,44.9,0
2026-01-05T12:00:00,400-T-402,400,22.26,38.06,0
2026-01-05T18:00:00,400-T-402,400,15.15,32.16,0
2026-01-06T00:00:00,400-T-402,400,27.0,27.41,0
2026-01-06T06:00:00,400-T-402,400,61.08,40.82,0
2026-01-06T12:00:00,400-T-402,400,72.16,37.47,0
2026-01-06T18:00:00,400-T-402,400,88.42,30.51,0
2026-01-07T00:00:00,400-T-402,400,87.76,36.38,0
2026-01-07T06:00:00,400-T-402,400,73.17,48.83,0
2026-01-07T12:00:00,400-T-402,400,81.66,57.34,0
2026-01-07T18:00:00,400-T-402,400,22.73,34.13,0
2026-01-08T00:00:00,400-T-402,400,56.83,21.11,0
2026-01-08T06:00:00,400-T-402,400,86.33,33.5,0
2026-01-08T12:00:00,400-T-402,400,52.58,48.46,0
2026-01-08T18:00:00,400-T-402,400,55.6,27.38,0
2026-01-09T00:00:00,400-T-402,400,77.97,56.33,0
2026-01-09T06:00:00,400-T-402,400,45.3,51.75,0
2026-01-09T12:00:00,400-T-402,400,89.38,23.5,0
2026-01-09T18:00:00,400-T-402,400,74.75,27.67,0
2026-01-10T00:00:00,400-T-402,400,15.21,25.49,0
2026-01-10T06:00:00,400-T-402,400,20.56,52.76,0
2026-01-10T12:00:00,400-T-402,400,20.95,45.07,0
2026-01-10T18:00:00,400-T-402,400,85.0,27.57,0
2026-01-11T00:00:00,400-T-402,400,23.28,36.61,0
2026-01-11T06:00:00,400-T-402,400,36.54,57.6,0
2026-01-11T12:00:00,400-T-402,400,42.29,31.22,0
2026-01-11T18:00:00,400-T-402,400,62.98,31.55,0
2026-01-12T00:00:00,400-T-402,400,58.66,36.7,0
2026-01-12T06:00:00,400-T-402,400,80.33,42.3,0
2026-01-12T12:00:00,400-T-402,400,28.57,48.62,0
2026-01-12T18:00:00,400-T-402,400,40.0,47.96,0
2026-01-13T00:00:00,400-T-402,400,41.78,26.06,0
2026-01-13T06:00:00,400-T-402,400,82.52,42.61,0
2026-01-13T12:00:00,400-T-402,400,88.51,31.72,0
2026-01-13T18:00:00,400-T-402,400,51.78,24.78,0
2026-01-14T00:00:00,400-T-402,400,73.01,35.54,0
2026-01-14T06:00:00,400-T-402,400,25.78,57.03,0
2026-01-14T12:00:00,400-T-402,400,40.46,35.09,0
2026-01-14T18:00:00,400-T-402,400,56.81,32.5,0
2026-01-15T00:00:00,400-T-402,400,51.59,27.17,0
2026-01-15T06:00:00,400-T-402,400,57.0,33.23,0
2026-01-15T12:00:00,400-T-402,400,43.53,35.05,0
2026-01-15T18:00:00,400-T-402,400,50.71,49.83,0
2026-01-16T00:00:00,400-T-402,400,75.31,28.0,0
2026-01-16T06:00:00,400-T-402,400,28.35,31.3,0
2026-01-16T12:00:00,400-T-402,400,76.21,22.52,0
2026-01-16T18:00:00,400-T-402,400,49.38,39.63,0
2026-01-17T00:00:00,400-T-402,400,34.66,37.15,0
